Address,Price,Beds,Baths,SqFt,Latitude,Longitude,Property Type,Year Built,Amenities,Cluster_ID,Neighborhood,Listing ID,Address 2,City,State,Zip,Formatted Address
9036 Charlotte Ct,1995,3.0,2.0,1250.0,42.2045442,-83.5810972,Condo,,,2,Gault Village,,,Ypsilanti,MI,,
1062 Rambling Rd,1650,3.0,1.0,1280.0,42.255898,-83.589306,Single Family,,,7,West Willow,,,Ypsilanti,MI,,
410 Olive St,1500,3.0,1.0,872.0,42.247555,-83.617996,Condo,,,0,Midtown,,,Ypsilanti,MI,,
505 Washtenaw Ave,2370,6.0,2.0,1729.0,42.243362,-83.619588,Single Family,,,0,Midtown,,,Ypsilanti,MI,,
641 N Miami Ave,1775,3.0,1.0,,42.248754,-83.584845,Single Family,,,7,West Willow,,,Ypsilanti,MI,,
207 Ballard St,1550,2.0,1.5,980.0,42.243885,-83.619558,Single Family,,,0,Midtown,,,Ypsilanti,MI,,
771 Eugene Ave,1695,3.0,1.5,1008.0,42.233291,-83.570936,Single Family,,,7,West Willow,,,Ypsilanti,MI,,
212 Ballard St,2280,4.0,1.0,1246.0,42.244319,-83.618835,Single Family,1920.0,,0,Midtown,,,Ypsilanti,MI,,
3152 Torrent Ln,2200,3.0,2.5,1283.0,42.198195,-83.696623,Single Family,2005.0,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
1002 Washtenaw Ave,800,1.0,1.0,1000.0,42.246567,-83.629433,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
1932 Washtenaw Ave,1250,2.0,2.0,980.0,42.248491,-83.642992,Apartment,,,1,Westlawn,,,Ypsilanti,MI,,
1932 1932 Washtenaw Ave,1250,2.0,2.0,980.0,42.248398,-83.642967,Apartment,,,1,Westlawn,,,Ypsilanti,MI,,
3329 Maple Dr,3400,3.0,1.5,1800.0,42.239826,-83.662953,Single Family,1976.0,,1,Westlawn,,,Ypsilanti,MI,,
400 N River St,1625,1.0,1.0,815.0,42.246201,-83.607941,Apartment,2019.0,,5,Miles/Garland,,,Ypsilanti,MI,,
509 W Forest Ave,1200,1.0,1.0,640.0,42.24802,-83.61931,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
5813 Rothbury Ct,2300,3.0,1.5,1726.0,42.203928,-83.672883,Single Family,,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
731 Redwood Ave N Unit B,1600,2.0,1.0,900.0,42.250439,-83.591782,Multi-Family,,,5,Miles/Garland,,,Ypsilanti,MI,,
410 Washtenaw Rooms Ave,695,3.0,1.0,1200.0,42.243824,-83.61824,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
2500 Lakeshore Blvd,850,0.0,1.0,555.0,42.21411,-83.5653,Apartment,1969.0,,2,Gault Village,,,Ypsilanti,MI,,
1428 Village Ln,1025,1.0,1.0,700.0,42.22812,-83.58213,Apartment,1969.0,,2,Gault Village,,,Ypsilanti,MI,,
712 Washtenaw Ave,1250,2.0,1.0,460.0,42.244704,-83.622632,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
210 Perrin St,2200,3.0,2.0,,42.244297,-83.620202,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
11 N Normal St,1375,4.0,1.0,1200.0,42.241609,-83.623585,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
105 N Hamilton St,1000,2.0,1.0,,42.242561,-83.617882,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
11 S Summit St,2195,4.0,1.5,,42.240322,-83.624336,Single Family,,,0,Midtown,,,Ypsilanti,MI,,
202 N Normal St,1000,2.0,1.0,,42.243694,-83.623009,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
219 N Huron St,1075,2.0,1.0,,42.244663,-83.61351,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
422 Pearl St,1100,2.0,1.0,,42.242347,-83.618873,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
525 N Adams St,1000,1.0,1.0,,42.24847,-83.616524,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
314 Pearl St,1175,2.0,1.0,,42.242428,-83.616898,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
321 E Cross St,945,0.0,1.0,,42.246303,-83.604744,Apartment,1876.0,,5,Miles/Garland,,,Ypsilanti,MI,,
627 N River St,1900,2.0,1.0,850.0,42.249107,-83.608978,Apartment,1870.0,,5,Miles/Garland,,,Ypsilanti,MI,,
144 Ohio St,2300,4.0,2.0,1914.0,42.241919,-83.574028,Single Family,,,7,West Willow,,,Ypsilanti,MI,,
119 College Pl,575,1.0,1.0,,42.242948,-83.622163,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
2 N Huron St,1600,3.0,1.0,,42.241238,-83.612879,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
24 N Huron,1400,3.0,1.0,1500.0,42.241371,-83.612823,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
503 Pearl Rd,575,1.0,1.0,,42.241963,-83.619582,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
627 N River St,1800,2.0,1.0,800.0,42.249107,-83.608978,Apartment,1870.0,,5,Miles/Garland,,,Ypsilanti,MI,,
315 W Cross St,1000,1.0,1.0,650.0,42.245556,-83.617058,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
669 Woburn Dr,1150,1.0,1.0,729.0,42.255426,-83.617056,Apartment,1999.0,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
212 Stevens Dr,1049,1.0,1.0,607.0,42.23465,-83.63619,Apartment,1971.0,,0,Midtown,,,Ypsilanti,MI,,
3677 Beech Dr,2700,3.0,2.5,3030.0,42.235357,-83.667014,Single Family,1987.0,,1,Westlawn,,,Ypsilanti,MI,,
211 Ballard St,1225,1.0,1.0,,42.24426,-83.619551,Apartment,1870.0,,0,Midtown,,,Ypsilanti,MI,,
113 N Hamilton St,800,0.0,1.0,,42.242875,-83.617982,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
1425 S Harris Rd,500,1.0,,,42.225349,-83.581964,Apartment,,,2,Gault Village,,,Ypsilanti,MI,,
418 Emmet St,1450,2.0,1.0,,42.244927,-83.618752,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
533 537 West Cross St,1100,1.0,1.0,,42.245564,-83.620338,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
1210 Washtenaw Ave,799,1.0,1.0,1000.0,42.247133,-83.633605,Single Family,,,0,Midtown,,,Ypsilanti,MI,,
703 Washtenaw Rd,650,1.0,1.0,,42.24409,-83.622308,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
159 S Grove St,1450,2.0,1.0,930.0,42.238011,-83.603714,Apartment,,,5,Miles/Garland,,,Ypsilanti,MI,,
2592 Eagles Cir,1700,2.0,2.0,1030.0,42.251945,-83.652962,Condo,2002.0,,1,Westlawn,,,Ypsilanti,MI,,
410 W Forest Ave,800,0.0,1.0,,42.248628,-83.618441,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
118 College Pl,900,2.0,1.0,,42.242893,-83.621514,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
380 N Harris Rd,2100,4.0,2.0,,42.246418,-83.582638,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
108 N Hamilton St,2000,4.0,1.5,,42.24265,-83.617213,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
1276 Hunter Ave,1800,3.0,1.0,864.0,42.257486,-83.583795,Single Family,,,7,West Willow,,,Ypsilanti,MI,,
312 Ballard St,1999,4.0,3.0,1390.0,42.245392,-83.618961,Single Family,1888.0,,0,Midtown,,,Ypsilanti,MI,,
8990 Brookwood St,1023,1.0,1.0,750.0,42.204803,-83.583135,Apartment,1991.0,,2,Gault Village,,,Ypsilanti,MI,,
120 S Prospect St,1150,1.0,1.0,830.0,42.238422,-83.602203,Apartment,,,5,Miles/Garland,,,Ypsilanti,MI,,
201 N Huron St,1000,0.0,1.0,360.0,42.243864,-83.61321,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
422 N Hamilton St,900,1.0,1.0,510.0,42.246925,-83.61689,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
208 W Michigan Ave,1670,2.0,1.0,978.0,42.241299,-83.615005,Condo,1879.0,,0,Midtown,,,Ypsilanti,MI,,
917 W Cross St,1200,2.0,1.0,750.0,42.24535,-83.626122,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
1712 Timber Rdg,805,1.0,1.0,600.0,42.219442,-83.580413,Apartment,1987.0,,2,Gault Village,,,Ypsilanti,MI,,
3932 Cloverlane Dr,1925,2.0,2.5,1200.0,42.220957,-83.677933,Condo,2016.0,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
413 W Forest Ave,900,1.0,1.0,750.0,42.248046,-83.618235,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
422 N Hamilton St,1200,2.0,1.0,950.0,42.246925,-83.61689,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
834 E Cross St,1350,2.0,1.0,1000.0,42.245735,-83.596687,Single Family,1955.0,,5,Miles/Garland,,,Ypsilanti,MI,,
114 W Michigan Ave,1380,1.0,1.0,700.0,42.241287,-83.613739,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
436 S Washington St,2400,4.0,2.5,1120.0,42.234748,-83.614903,Single Family,1844.0,,0,Midtown,,,Ypsilanti,MI,,
1478 Kingwood St,2900,4.0,2.5,2081.0,42.25131,-83.636448,Single Family,1962.0,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
115 College Pl,1100,1.0,1.0,477.0,42.242788,-83.622156,Apartment,1914.0,,0,Midtown,,,Ypsilanti,MI,,
238 N Summit St,917,0.0,1.0,,42.245144,-83.62441,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
3520 Blue Heron Ct,6800,3.0,3.0,2243.0,42.321145,-83.607473,Single Family,2015.0,,6,Frain Lake,,,Ypsilanti,MI,,
2973 W Clark Rd,1324,1.0,1.0,720.0,42.259457,-83.653551,Apartment,1987.0,,1,Westlawn,,,Ypsilanti,MI,,
224 N Hewitt Rd,3200,4.0,1.5,1332.0,42.239983,-83.647305,Single Family,1937.0,,1,Westlawn,,,Ypsilanti,MI,,
1369 Andrea St,750,1.0,1.0,,42.227888,-83.573718,Single Family,,,2,Gault Village,,,Ypsilanti,MI,,
108 Normal St N,2400,5.0,2.0,1634.0,42.242659,-83.622851,Single Family,1870.0,,0,Midtown,,,Ypsilanti,MI,,
209 Oak St,1800,3.0,1.0,1104.0,42.248505,-83.606854,Single Family,1850.0,,5,Miles/Garland,,,Ypsilanti,MI,,
9663 Harbour Cove Ct,1900,2.0,1.5,988.0,42.203802,-83.568645,Condo,,,2,Gault Village,,,Ypsilanti,MI,,
211 N Adams St,925,0.0,1.0,400.0,42.244193,-83.616452,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
5036 Bolla Rd,1400,1.0,1.0,576.0,42.157246,-83.657768,Apartment,,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
508 N Congress St,2000,4.0,2.0,,42.241245,-83.619507,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
605 W Cross St,1245,2.0,1.0,,42.245482,-83.621088,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
604 Pearl St,1195,2.0,1.0,800.0,42.242399,-83.620918,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
513 Emmet St,1500,3.0,1.0,,42.244522,-83.620121,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
415 Ballard St,1245,2.0,1.0,800.0,42.246557,-83.619579,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
413 Ballard St,1300,2.0,1.0,,42.24642,-83.619576,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
813 N Congress St,1425,3.0,1.0,,42.240795,-83.624303,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
512 W Cross St,1550,3.0,1.0,,42.246035,-83.61997,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
603 W Cross St,1300,3.0,1.0,,42.245498,-83.620907,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
760 Jenness St,1295,2.0,1.0,975.0,42.251008,-83.617917,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
120 Ballard St,1195,2.0,1.0,800.0,42.243211,-83.618919,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
308 Jarvis St,1195,2.0,1.0,900.0,42.250596,-83.617799,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
504 Saint John,1295,2.0,1.0,,42.251389,-83.619899,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
514 Emmet St,1095,1.0,1.0,,42.244793,-83.620023,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
55 Burbank Ave,1075,2.0,1.0,650.0,42.245956,-83.58593,Apartment,1962.0,,7,West Willow,,,Ypsilanti,MI,,
6244 Trumpeter Ln,2304,3.0,2.5,1450.0,42.198557,-83.698549,Apartment,2000.0,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
1616 Washtenaw Ave,3000,2.0,1.5,1006.0,42.247781,-83.638369,Condo,1967.0,,1,Westlawn,,,Ypsilanti,MI,,
701 Emmet St,1295,3.0,1.5,682.0,42.244661,-83.622226,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
1266 Leforge Rd,1285,2.0,1.5,1125.0,42.25706,-83.62095,Apartment,1970.0,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
400 Perrin St,995,1.0,1.0,600.0,42.245766,-83.620489,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
945 W Clark Rd,1597,3.0,2.0,1134.0,42.259657,-83.627835,Apartment,2024.0,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
213 N Hamilton St,795,0.0,1.0,400.0,42.244358,-83.617979,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
2224 Touchdown Ct,1495,2.0,1.0,993.0,42.251908,-83.649254,Condo,2000.0,,1,Westlawn,,,Ypsilanti,MI,,
4800 W Clark Rd,1310,1.0,1.0,744.0,42.257725,-83.664368,Apartment,2025.0,,1,Westlawn,,,Ypsilanti,MI,,
1000 N Huron River Dr,1119,1.0,1.0,525.0,42.254695,-83.622765,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
1993 Arbor Woods Blvd,1699,3.0,2.0,1286.0,42.271497,-83.574408,Single Family,,,7,West Willow,,,Ypsilanti,MI,,
